Layers;Iteration;Recognition Failure Rate;Learning Failure Rate
[100, 200];1;2.7;0.01651780989155917
[100, 200];2;3.2;0.005796706484289302
[100, 200];3;2.8000000000000003;0.003657109745110775
[100, 200];4;2.0;0.002415913259985003
[100, 200];5;2.1;0.001525591009353772
[100, 200];6;2.6;9.103869543143641E-4
[100, 200];7;1.7999999999999998;7.06707310233298E-4
[100, 200];8;2.1999999999999997;6.64192233319324E-4
[100, 200];9;1.7999999999999998;6.068429026374081E-4
[100, 200];10;2.3;5.642717961379542E-4
[100, 200];11;2.0;5.434883230313253E-4
[100, 200];12;2.5;5.297992716007008E-4
[100, 200];13;1.9;5.077288875782489E-4
[100, 200];14;2.0;4.972940955690867E-4
[100, 200];15;1.9;4.7796698193587405E-4
[100, 200];16;2.3;4.655164370172533E-4
[100, 200];17;2.4;4.56941745880794E-4
[100, 200];18;3.1;4.5272912492413486E-4
[100, 200];19;2.4;4.4337735754663044E-4
[100, 200];20;2.3;4.360192181507791E-4
[100, 200];21;1.4000000000000001;4.309834432091647E-4
[100, 200];22;1.0999999999999999;4.270659069658762E-4
[100, 200];23;2.8000000000000003;4.2387425833418453E-4
[100, 200];24;2.8000000000000003;4.213739489712365E-4
[100, 200];25;1.9;4.1997431825354254E-4
