Layers;Iteration;Recognition Failure Rate;Learning Failure Rate
[300, 100];1;2.1;0.014932896885101582
[300, 100];2;1.4000000000000001;0.00323825050462619
[300, 100];3;2.1;0.0015967976566166244
[300, 100];4;2.8000000000000003;8.101953897104789E-4
[300, 100];5;1.7000000000000002;5.16323301320755E-4
[300, 100];6;1.5;4.6937228314657906E-4
[300, 100];7;2.3;4.333347986486503E-4
[300, 100];8;2.0;4.071872696775012E-4
[300, 100];9;2.0;4.010312542530048E-4
[300, 100];10;1.7000000000000002;3.9547344001496216E-4
[300, 100];11;1.9;3.8354869355809284E-4
[300, 100];12;1.2;3.6716869832285E-4
[300, 100];13;2.1999999999999997;3.5508865824106163E-4
[300, 100];14;1.9;3.485726585949085E-4
[300, 100];15;1.2;3.444413617362623E-4
[300, 100];16;2.1;3.3795346758984363E-4
[300, 100];17;1.5;3.3518636834061486E-4
[300, 100];18;1.7000000000000002;3.310883149722244E-4
[300, 100];19;1.9;3.2759548941008665E-4
[300, 100];20;1.7999999999999998;3.249880488976117E-4
[300, 100];21;1.5;3.216564562754023E-4
[300, 100];22;2.4;3.192753380022615E-4
[300, 100];23;1.7000000000000002;3.1736432087590993E-4
[300, 100];24;1.9;3.1578230386947675E-4
[300, 100];25;1.9;3.150108072453165E-4
