Layers;Iteration;Recognition Failure Rate;Learning Failure Rate
[50, 100];1;3.6999999999999997;0.020496361896252376
[50, 100];2;4.3999999999999995;0.00968366337944151
[50, 100];3;3.0;0.007423813343484725
[50, 100];4;3.8;0.0059484383723145875
[50, 100];5;2.7;0.004929914934210588
[50, 100];6;3.4000000000000004;0.004197448080471553
[50, 100];7;3.5999999999999996;0.0034296622281242625
[50, 100];8;3.1;0.0028483221011684403
[50, 100];9;3.9;0.0023106630118223084
[50, 100];10;2.9000000000000004;0.0017155838942838628
[50, 100];11;3.2;0.0015433728034118179
[50, 100];12;2.7;0.0011281040340523538
[50, 100];13;3.0;9.12392882011377E-4
[50, 100];14;2.8000000000000003;7.955962781184031E-4
[50, 100];15;3.2;7.622429911924274E-4
[50, 100];16;2.7;7.430271051846268E-4
[50, 100];17;4.2;7.304526182612945E-4
[50, 100];18;3.1;7.184013994445431E-4
[50, 100];19;3.0;7.092184682571771E-4
[50, 100];20;2.6;6.93617440274058E-4
[50, 100];21;3.1;6.892377502863244E-4
[50, 100];22;3.5000000000000004;6.921804788681945E-4
[50, 100];23;2.4;6.84166021459858E-4
[50, 100];24;2.8000000000000003;6.747466781656619E-4
[50, 100];25;2.9000000000000004;6.670591445890673E-4
