Layers;Iteration;Recognition Failure Rate;Learning Failure Rate
[150, 100];1;4.7;0.014671497188787798
[150, 100];2;2.8000000000000003;0.004122297049065163
[150, 100];3;1.9;0.0023611201921887245
[150, 100];4;2.1999999999999997;0.0013027873034257766
[150, 100];5;1.6;7.170342907613187E-4
[150, 100];6;2.5;4.24842747387134E-4
[150, 100];7;1.7000000000000002;3.811822137484873E-4
[150, 100];8;2.1;3.582113020874681E-4
[150, 100];9;1.7000000000000002;3.4945721283211756E-4
[150, 100];10;1.0999999999999999;3.403947038342254E-4
[150, 100];11;1.6;3.3599475188883634E-4
[150, 100];12;1.7999999999999998;3.428916297599842E-4
[150, 100];13;1.9;3.403989408826897E-4
[150, 100];14;2.0;3.273039396902084E-4
[150, 100];15;2.3;3.181179375602594E-4
[150, 100];16;2.1999999999999997;3.114974360077063E-4
[150, 100];17;1.5;3.110038944126694E-4
[150, 100];18;2.3;3.069397622342418E-4
[150, 100];19;2.0;3.0218873148316544E-4
[150, 100];20;2.1;3.0404617581870365E-4
[150, 100];21;2.5;3.040558634119951E-4
[150, 100];22;1.3;2.994670115423261E-4
[150, 100];23;1.9;2.9552894686316863E-4
[150, 100];24;1.9;2.9488297155395903E-4
[150, 100];25;2.4;2.8806736252213317E-4
